service_id,date,exception_type
C98646RK3HPHM-0011,20250704,1
C98646RK3HPHM-0011,20250707,1
C98646RK3HPHM-0011,20250708,1
C98646RK3HPHM-0011,20250709,1
C98646RK3HPHM-0011,20250710,1
C98646RK3HPHM-0011,20250711,1
C98646RK3HPHM-0011,20250714,1
C98646RK3HPHM-0011,20250715,1
C98646RK3HPHM-0011,20250716,1
C98646RK3HPHM-0011,20250717,1
C98646RK3HPHM-0011,20250718,1
C98646RK3HPHM-0011,20250721,1
C98646RK3HPHM-0011,20250722,1
C98646RK3HPHM-0011,20250723,1
C98646RK3HPHM-0011,20250724,1
C98646RK3HPHM-0011,20250725,1
C98646RK3HPHM-0011,20250728,1
C98646RK3HPHM-0011,20250729,1
C98646RK3HPHM-0011,20250730,1
C98646RK3HPHM-0011,20250731,1
C98652RA1HCMAA-091,20250617,1
C98654RA5SZMAA-011,20250621,1
C98670RAAHCLE-0141,20250616,1
C98670RAAVSLE-0141,20250615,1
C98695RK1HCSZL-021,20250623,1
C98695RK1HCSZL-021,20250624,1
C98695RK1HCSZL-021,20250625,1
C98695RK1HCSZL-021,20250626,1
C98695RK1HCSZL-021,20250630,1
C98696RK1PPSZL-021,20250627,1
C98704ASZVK-0021,20250621,1
C98704ASZVK-0021,20250628,1
C98704ASZVK-0021,20250705,1
C98704ASZVK-0021,20250712,1
C98704ASZVK-0021,20250719,1
C98704ASZVK-0021,20250726,1
C98711AHCWA-0011,20250616,1
C98711AHCWA-0011,20250617,1
C98711AHCWA-0011,20250618,1
C98711AHCWA-0011,20250619,1
C98738RA3HPKYM-011,20250616,1
C98738RA3HPKYM-011,20250617,1
C98738RA3HPKYM-011,20250618,1
C98742RA3HPKYM-011,20250619,1
C98743RA3HPKYM-011,20250620,1
C98771NSGHPBR-0011,20250624,1
C98795RAAHCJOP-031,20250619,1
C98809K1HPBA-0021,20250623,1
C98809K1HPBA-0021,20250624,1
C98809K1HPBA-0021,20250625,1
C98809K1HPBA-0021,20250627,1
C98810K1HCMAA-121,20250623,1
C98810K1HCMAA-121,20250624,1
C98810K1HCMAA-121,20250625,1
C98810K1HCMAA-121,20250626,1
C98810K1HCMAA-121,20250630,1
C98810K1HCMAA-121,20250701,1
C98810K1HCMAA-121,20250702,1
C98810K1HCMAA-121,20250703,1
C98810K1HCMAA-121,20250707,1
C98810K1HCMAA-121,20250708,1
C98810K1HCMAA-121,20250709,1
C98810K1HCMAA-121,20250710,1
C98810K1HCMAA-121,20250714,1
C98810K1HCMAA-121,20250715,1
C98810K1HCMAA-121,20250716,1
C98810K1HCMAA-121,20250717,1
C98810K1HCMAA-121,20250721,1
C98810K1HCMAA-121,20250722,1
C98810K1HCMAA-121,20250723,1
C98810K1HCMAA-121,20250724,1
C98810K1HCMAA-121,20250728,1
C98810K1HCMAA-121,20250729,1
C98810K1HCMAA-121,20250730,1
C98810K1HCMAA-121,20250731,1
C98821ASZPER021,20250621,1
C98821ASZPER021,20250628,1
C98821ASZPER021,20250705,1
C98821ASZPER021,20250712,1
C98821ASZPER021,20250726,1
C98827RA3SVKYM-011,20250615,1
C98843ASZKVA-071,20250705,1
C98843ASZKVA-071,20250712,1
C98843ASZKVA-071,20250719,1
C98843ASZKVA-071,20250726,1
C98851RAEVVMAA-011,20250615,1
C98853K1HCMAA-011,20250623,1
C98853K1HCMAA-011,20250624,1
C98853K1HCMAA-011,20250625,1
C98853K1HCMAA-011,20250626,1
C98855K1PPMAA-011,20250627,1
C98877AVVKVA-071,20250706,1
C98877AVVKVA-071,20250713,1
C98877AVVKVA-071,20250720,1
C98877AVVKVA-071,20250727,1
C98886RA2HCSzN-291,20250616,1
C98886RA2HCSzN-291,20250617,1
C98886RA2HCSzN-291,20250618,1
C98886RA2HCSzN-291,20250619,1
C98888RA2SZSzN-291,20250621,1
C98888RA2SZSzN-291,20250628,1
C98888RA2SZSzN-291,20250705,1
C98888RA2SZSzN-291,20250712,1
C98888RA2SZSzN-291,20250719,1
C98888RA2SZSzN-291,20250726,1
C98889RA2VVSzN-291,20250615,1
C98889RA2VVSzN-291,20250622,1
C98889RA2VVSzN-291,20250629,1
C98889RA2VVSzN-291,20250706,1
C98889RA2VVSzN-291,20250713,1
C98889RA2VVSzN-291,20250720,1
C98889RA2VVSzN-291,20250727,1
C98890RK2HPSzN-161,20250623,1
C98890RK2HPSzN-161,20250624,1
C98890RK2HPSzN-161,20250625,1
C98890RK2HPSzN-161,20250626,1
C98890RK2HPSzN-161,20250627,1
C98890RK2HPSzN-161,20250630,1
C98890RK2HPSzN-161,20250701,1
C98890RK2HPSzN-161,20250702,1
C98890RK2HPSzN-161,20250703,1
C98890RK2HPSzN-161,20250704,1
C98890RK2HPSzN-161,20250707,1
C98890RK2HPSzN-161,20250708,1
C98890RK2HPSzN-161,20250709,1
C98890RK2HPSzN-161,20250710,1
C98890RK2HPSzN-161,20250711,1
C98890RK2HPSzN-161,20250714,1
C98890RK2HPSzN-161,20250715,1
C98890RK2HPSzN-161,20250716,1
C98890RK2HPSzN-161,20250717,1
C98890RK2HPSzN-161,20250718,1
C98890RK2HPSzN-161,20250721,1
C98890RK2HPSzN-161,20250722,1
C98890RK2HPSzN-161,20250723,1
C98890RK2HPSzN-161,20250724,1
C98890RK2HPSzN-161,20250725,1
C98890RK2HPSzN-161,20250728,1
C98890RK2HPSzN-161,20250729,1
C98890RK2HPSzN-161,20250730,1
C98890RK2HPSzN-161,20250731,1
C98890RK2HPSzN-161,20250801,1
C98891RA2PPSzN-291,20250620,1
C98904RA3SVKYM-011,20250621,1
C98906REHCBR-0011,20250616,1
C98909AHCNR-0041,20250616,1
C98909AHCNR-0041,20250617,1
C98909AHCNR-0041,20250618,1
C98909AHCNR-0041,20250619,1
C98911RAAHCYM-0031,20250616,1
C98916APPNR-0041,20250620,1
C98920ASZNR-0041,20250621,1
C98920ASZNR-0041,20250628,1
C98920ASZNR-0041,20250705,1
C98920ASZNR-0041,20250712,1
C98920ASZNR-0041,20250719,1
C98920ASZNR-0041,20250726,1
C98924AVVNR-0041,20250615,1
C98924AVVNR-0041,20250622,1
C98924AVVNR-0041,20250629,1
C98924AVVNR-0041,20250706,1
C98924AVVNR-0041,20250713,1
C98924AVVNR-0041,20250720,1
C98924AVVNR-0041,20250727,1
C98928K1HCNR-0041,20250623,1
C98928K1HCNR-0041,20250624,1
C98928K1HCNR-0041,20250625,1
